cruise,station,time,latitude_degN,longitude_degE,bottom_depth_m,secchi_depth_m,year
411,1001-1,2022-03-02 16:36:00+00:00,51.722961,-8.612848,4.9,0.3,2022
411,1001-1,2023-02-02 14:43:00+00:00,51.72296,-8.61285,4.9,2.25,2023
411,1001-2,2022-05-16 07:26:00+00:00,51.722961,-8.612848,5.6,1.0,2022
411,1001-2,2023-06-22 09:41:00+00:00,51.72296,-8.61285,4.0,1.25,2023
411,1001-3,2022-07-06 11:53:00+00:00,51.722961,-8.612848,4.6,1.25,2022
411,1001-3,2023-07-24 10:57:00+00:00,51.72296,-8.61285,4.9,1.0,2023
411,1001-4,2022-08-17 10:27:00+00:00,51.722961,-8.612848,6.2,1.5,2022
411,1001-4,2023-08-21 09:51:00+00:00,51.72296,-8.61285,6.4,0.75,2023
411,1002-1,2022-03-02 16:27:00+00:00,51.706757,-8.600767,4.2,0.3,2022
411,1002-1,2023-02-02 14:28:00+00:00,51.70676,-8.60077,3.9,1.5,2023
411,1002-2,2022-05-16 07:38:00+00:00,51.706757,-8.600767,4.3,1.25,2022
411,1002-2,2023-06-22 09:53:00+00:00,51.70676,-8.60077,3.7,2.25,2023
411,1002-3,2022-07-06 12:04:00+00:00,51.706757,-8.600767,3.6,1.5,2022
411,1002-3,2023-07-24 11:12:00+00:00,51.70676,-8.60077,3.4,2.0,2023
411,1002-4,2022-08-17 10:42:00+00:00,51.706757,-8.600767,4.3,1.25,2022
411,1002-4,2023-08-21 10:09:00+00:00,51.70676,-8.60077,4.6,0.75,2023
411,1011-1,2023-03-02 12:49:00+00:00,55.0434,-7.5078,2.2,1.75,2023
411,1011-3,2023-06-27 12:31:00+00:00,55.0434,-7.5078,3.4,2.0,2023
411,1011-4,2023-09-06 09:04:00+00:00,55.0434,-7.5078,3.3,2.0,2023
411,1012-1,2022-01-10 14:32:00+00:00,55.0484,-7.4856,3.1,1.5,2022
411,1012-2,2022-05-31 10:30:00+00:00,55.0484,-7.4856,2.3,2.3,2022
411,1012-3,2023-06-27 12:10:00+00:00,55.0484,-7.4856,2.4,2.0,2023
411,1012-5,2022-01-10 14:41:00+00:00,55.0434,-7.5078,3.8,1.5,2022
411,1012-6,2022-05-31 10:38:00+00:00,55.0434,-7.5078,3.0,3.0,2022
411,1012-7,2022-06-29 10:22:00+00:00,55.0434,-7.5078,2.8,2.5,2022
411,1012-8,2022-09-14 13:24:00+00:00,55.0434,-7.5078,1.9,1.5,2022
411,101251-1,2022-03-03 14:52:00+00:00,51.912373,-7.83898,8.3,0.75,2022
411,101251-1,2023-01-30 10:03:00+00:00,51.91237,-7.83898,10.0,3.5,2023
411,101251-2,2022-07-07 10:47:00+00:00,51.912373,-7.83898,8.1,7.5,2022
411,101251-2,2023-06-19 10:05:00+00:00,51.91237,-7.83898,7.6,5.25,2023
411,101251-3,2022-09-14 11:20:00+00:00,51.912373,-7.83898,8.0,2.5,2022
411,101251-4,2023-08-24 13:00:00+00:00,51.91237,-7.83898,8.3,3.0,2023
411,1013-1,2023-01-30 13:05:00+00:00,54.6122,-8.4062,31.0,4.5,2023
411,1013-2,2023-05-31 11:55:00+00:00,54.6122,-8.4062,30.0,8.0,2023
411,1013-3,2023-06-28 10:59:00+00:00,54.6122,-8.4062,30.0,5.25,2023
411,1013-4,2022-05-26 11:42:00+00:00,54.6122,-8.4062,29.0,8.5,2022
411,1013-4,2023-09-05 13:04:00+00:00,54.6122,-8.4062,30.5,4.5,2023
411,1013-5,2022-07-05 12:30:00+00:00,54.6122,-8.4062,30.0,3.5,2022
411,1013-6,2022-09-08 13:18:00+00:00,54.6122,-8.4062,30.0,9.0,2022
411,1014-1,2022-06-02 11:31:00+00:00,54.86,-8.4,6.1,6.1,2022
411,1015-1,2023-05-22 13:48:00+00:00,54.84406,-8.31617,4.3,1.5,2023
411,1015-3,2023-08-21 09:19:00+00:00,54.84406,-8.31617,2.2,1.5,2023
411,1015-5,2023-11-06 12:59:00+00:00,54.84406,-8.31617,2.0,0.8,2023
411,101534-1,2022-06-01 10:00:00+00:00,52.2724,-7.0129,18.8,0.5,2022
411,101534-1,2023-02-14 13:30:00+00:00,52.2724,-7.0129,10.7,0.5,2023
411,101534-2,2022-08-09 10:52:00+00:00,52.2724,-7.0129,11.1,0.75,2022
411,101534-2,2023-05-31 10:41:00+00:00,52.2724,-7.0129,18.3,1.25,2023
411,101534-3,2022-09-08 11:48:00+00:00,52.2724,-7.0129,10.0,0.75,2022
411,101534-3,2023-07-19 11:48:00+00:00,52.2724,-7.0129,12.8,0.5,2023
411,101534-4,2022-11-30 12:25:00+00:00,52.2724,-7.0129,12.8,1.0,2022
411,1017-1,2023-05-22 16:36:00+00:00,54.86208,-8.27648,0.45,0.45,2023
411,1017-2,2022-06-02 15:26:00+00:00,54.86208,-8.276476,0.5,0.5,2022
411,1017-4,2022-06-02 15:48:00+00:00,54.844059,-8.316169,0.5,0.5,2022
411,1020-1,2022-01-10 11:42:00+00:00,55.0464,-7.6325,3.5,1.5,2022
411,1020-1,2023-03-02 15:43:00+00:00,55.0464,-7.6325,2.4,0.75,2023
411,1020-2,2022-05-31 11:01:00+00:00,55.0464,-7.6325,2.0,1.2,2022
411,1020-3,2022-06-29 10:43:00+00:00,55.0464,-7.6325,2.1,1.0,2022
411,1020-3,2023-06-27 15:04:00+00:00,55.0464,-7.6325,2.1,2.0,2023
411,1020-4,2022-09-14 12:31:00+00:00,55.0464,-7.6325,1.7,1.5,2022
411,1020-4,2023-09-06 11:52:00+00:00,55.0464,-7.6325,3.2,1.75,2023
411,1023-1,2023-05-22 10:08:00+00:00,54.85,-8.39,2.4,2.4,2023
411,102326-1,2022-02-10 10:33:00+00:00,51.64229,-8.673898,4.3,1.75,2022
411,102326-2,2022-05-24 14:28:00+00:00,51.64229,-8.673898,4.8,4.0,2022
411,102326-3,2022-07-12 15:08:00+00:00,51.64229,-8.673898,5.0,4.25,2022
411,102333-1,2022-02-10 10:41:00+00:00,51.636044,-8.673447,4.8,1.75,2022
411,102333-2,2022-05-24 14:47:00+00:00,51.636044,-8.673447,6.1,3.25,2022
411,102333-3,2022-07-12 15:16:00+00:00,51.636044,-8.673447,6.8,3.75,2022
411,102340-1,2022-02-10 10:56:00+00:00,51.625778,-8.672578,8.8,2.25,2022
411,102340-2,2022-05-24 15:01:00+00:00,51.625778,-8.672578,9.4,4.0,2022
411,102340-3,2022-07-12 15:26:00+00:00,51.625778,-8.672578,5.8,4.25,2022
411,1024-4,2023-05-22 09:57:00+00:00,54.85,-8.37,3.5,3.5,2023
411,1025-1,2023-05-22 09:43:00+00:00,54.84,-8.35,4.4,4.4,2023
411,1025-3,2023-08-21 11:03:00+00:00,54.84,-8.35,2.8,2.0,2023
411,1028-1,2022-01-10 11:29:00+00:00,55.0543,-7.6171,4.0,1.5,2022
411,1028-1,2023-03-02 15:56:00+00:00,55.0543,-7.6171,2.7,1.25,2023
411,1028-2,2022-05-31 11:09:00+00:00,55.0543,-7.6171,1.6,1.3,2022
411,1028-3,2022-06-29 10:53:00+00:00,55.0543,-7.6171,2.3,1.0,2022
411,1028-3,2023-06-27 15:12:00+00:00,55.0543,-7.6171,3.1,3.0,2023
411,1028-4,2022-09-14 12:44:00+00:00,55.0543,-7.6171,2.2,1.25,2022
411,1028-4,2023-09-06 12:01:00+00:00,55.0543,-7.6171,3.2,2.0,2023
411,1029-1,2022-06-29 09:17:00+00:00,55.0,-7.6116,3.9,1.25,2022
411,1029-1,2023-03-02 13:45:00+00:00,55.0,-7.6116,3.2,1.75,2023
411,1029-2,2022-09-14 11:19:00+00:00,55.0,-7.6116,3.7,1.5,2022
411,1029-2,2023-06-27 14:43:00+00:00,55.0,-7.6116,3.8,3.0,2023
411,1029-3,2023-09-06 10:00:00+00:00,55.0,-7.6116,4.0,1.75,2023
411,1032-1,2022-01-10 13:37:00+00:00,54.9826,-7.6394,4.5,1.5,2022
411,1032-1,2023-03-02 13:57:00+00:00,54.9826,-7.6394,2.8,1.5,2023
411,1032-2,2022-05-31 10:06:00+00:00,54.9826,-7.6394,1.8,0.9,2022
411,1032-3,2022-06-29 09:06:00+00:00,54.9826,-7.6394,3.3,1.0,2022
411,1032-3,2023-06-27 14:30:00+00:00,54.9826,-7.6394,4.0,2.0,2023
411,1032-4,2022-09-14 11:06:00+00:00,54.9826,-7.6394,4.0,1.25,2022
411,1032-4,2023-09-06 10:16:00+00:00,54.9826,-7.6394,4.5,1.75,2023
411,103255-1,2022-02-28 13:33:00+00:00,51.7746,-8.2745,11.1,0.75,2022
411,103255-1,2023-02-01 12:11:00+00:00,51.7746,-8.2745,15.2,6.5,2023
411,103255-2,2022-07-04 13:34:00+00:00,51.7746,-8.2745,12.8,4.5,2022
411,103255-2,2023-06-20 11:00:00+00:00,51.7746,-8.2745,7.9,6.0,2023
411,103255-3,2022-08-15 11:29:00+00:00,51.7746,-8.2745,11.8,5.0,2022
411,103255-3,2023-07-25 13:54:00+00:00,51.7746,-8.2745,13.0,5.0,2023
411,103255-4,2023-08-22 12:30:00+00:00,51.7746,-8.2745,12.2,2.5,2023
411,1033-1,2022-02-08 11:24:00+00:00,54.6346,-8.4396,9.0,3.0,2022
411,1033-1,2023-01-30 11:02:00+00:00,54.6346,-8.4396,9.5,3.5,2023
411,1033-2,2023-05-31 10:08:00+00:00,54.6346,-8.4396,7.5,7.25,2023
411,1033-3,2022-05-26 10:13:00+00:00,54.6346,-8.4396,7.0,5.0,2022
411,1033-3,2023-05-31 13:39:00+00:00,54.6346,-8.4396,7.0,6.0,2023
411,1033-4,2022-05-26 13:38:00+00:00,54.6346,-8.4396,8.0,4.75,2022
411,1033-4,2023-06-28 08:49:00+00:00,54.6346,-8.4396,6.9,3.0,2023
411,1033-5,2022-07-05 10:47:00+00:00,54.6346,-8.4396,9.9,4.0,2022
411,1033-5,2023-06-28 13:08:00+00:00,54.6346,-8.4396,8.4,3.5,2023
411,1033-6,2022-07-05 14:14:00+00:00,54.6346,-8.4396,7.2,3.0,2022
411,1033-6,2023-09-05 10:53:00+00:00,54.6346,-8.4396,10.1,3.5,2023
411,1033-7,2022-09-08 11:10:00+00:00,54.6346,-8.4396,8.4,5.5,2022
411,1033-7,2023-09-05 14:48:00+00:00,54.6346,-8.4396,7.6,3.0,2023
411,1033-8,2022-09-08 15:18:00+00:00,54.6346,-8.4396,9.2,6.0,2022
411,1034-1,2022-07-28 11:24:00+00:00,53.9743,-6.2968,5.4,3.0,2022
411,1034-1,2023-02-28 11:42:00+00:00,53.9743,-6.2968,2.5,1.1,2023
411,1034-2,2022-07-28 15:48:00+00:00,53.9743,-6.2968,3.1,0.5,2022
411,1034-3,2022-08-24 10:53:00+00:00,53.9743,-6.2968,4.5,2.0,2022
411,1034-3,2023-06-15 09:12:00+00:00,53.9743,-6.2968,3.5,2.8,2023
411,1034-4,2022-08-24 15:20:00+00:00,53.9743,-6.2968,2.1,0.5,2022
411,1034-4,2023-08-30 07:51:00+00:00,53.9743,-6.2968,3.7,0.8,2023
411,1034-5,2022-09-21 10:35:00+00:00,53.9743,-6.2968,3.8,2.3,2022
411,1034-5,2023-08-30 11:30:00+00:00,53.9743,-6.2968,4.2,2.4,2023
411,1034-6,2022-09-21 14:54:00+00:00,53.9743,-6.2968,2.3,1.0,2022
411,1035-1,2022-02-08 11:43:00+00:00,54.63566,-8.4348,8.5,2.0,2022
411,1035-1,2023-01-30 11:24:00+00:00,54.63566,-8.4348,8.3,4.0,2023
411,1035-2,2023-05-31 10:24:00+00:00,54.63566,-8.4348,6.3,6.0,2023
411,1035-3,2022-05-26 10:31:00+00:00,54.63566,-8.4348,7.0,2.75,2022
411,1035-3,2023-05-31 13:58:00+00:00,54.63566,-8.4348,7.7,5.5,2023
411,1035-4,2022-05-26 13:55:00+00:00,54.63566,-8.4348,8.0,3.25,2022
411,1035-4,2023-06-28 09:09:00+00:00,54.63566,-8.4348,6.5,2.5,2023
411,1035-5,2022-07-05 11:06:00+00:00,54.63566,-8.4348,7.7,2.75,2022
411,1035-5,2023-06-28 13:28:00+00:00,54.63566,-8.4348,7.9,3.0,2023
411,1035-6,2022-07-05 14:22:00+00:00,54.63566,-8.4348,6.0,3.0,2022
411,1035-6,2023-09-05 11:19:00+00:00,54.63566,-8.4348,8.2,3.75,2023
411,1035-7,2023-09-05 15:06:00+00:00,54.63566,-8.4348,6.2,3.25,2023
411,1035-8,2022-09-08 15:43:00+00:00,54.63566,-8.4348,8.6,7.0,2022
411,1037-1,2022-07-28 11:32:00+00:00,53.9845,-6.311,2.8,0.5,2022
411,1037-1,2023-02-28 11:53:00+00:00,53.9845,-6.311,3.0,0.8,2023
411,1037-2,2022-07-28 15:39:00+00:00,53.9845,-6.311,4.4,0.5,2022
411,1037-3,2022-08-24 11:04:00+00:00,53.9845,-6.311,6.2,1.5,2022
411,1037-3,2023-06-15 09:26:00+00:00,53.9845,-6.311,6.0,2.9,2023
411,1037-4,2022-08-24 15:12:00+00:00,53.9845,-6.311,3.9,0.5,2022
411,1037-4,2023-06-15 11:55:00+00:00,53.9845,-6.311,4.0,2.0,2023
411,1037-5,2022-09-21 10:50:00+00:00,53.9845,-6.311,5.8,2.1,2022
411,1037-5,2023-08-30 08:02:00+00:00,53.9845,-6.311,4.1,0.25,2023
411,1037-6,2022-09-21 14:43:00+00:00,53.9845,-6.311,3.8,1.0,2022
411,1037-6,2023-08-30 11:21:00+00:00,53.9845,-6.311,6.8,2.1,2023
411,103811-1,2022-02-15 13:24:00+00:00,53.345123,-6.273052,2.8,0.75,2022
411,103811-1,2023-02-20 13:41:00+00:00,53.34512,-6.27305,3.3,2.25,2023
411,103811-2,2022-05-25 10:27:00+00:00,53.345123,-6.273052,2.6,1.5,2022
411,103811-2,2023-05-16 11:30:00+00:00,53.34512,-6.27305,2.7,2.25,2023
411,103811-3,2022-07-25 11:04:00+00:00,53.345123,-6.273052,2.4,2.25,2022
411,103811-3,2023-07-31 12:33:00+00:00,53.34512,-6.27305,3.1,2.25,2023
411,103811-4,2022-08-22 11:26:00+00:00,53.345123,-6.273052,1.9,1.5,2022
411,103811-4,2023-09-11 11:11:00+00:00,53.34512,-6.27305,2.8,2.5,2023
411,103891-1,2022-01-25 10:41:00+00:00,53.148346,-8.940202,4.2,3.5,2022
411,103891-3,2022-06-21 06:32:00+00:00,53.148346,-8.940202,1.7,0.75,2022
411,103891-3,2023-05-23 09:08:00+00:00,53.14835,-8.9402,4.2,2.25,2023
411,103891-4,2022-06-21 10:03:00+00:00,53.148346,-8.940202,3.6,3.75,2022
411,103891-4,2023-05-23 12:23:00+00:00,53.14835,-8.9402,2.4,2.0,2023
411,103891-5,2022-07-20 11:35:00+00:00,53.148346,-8.940202,4.1,3.5,2022
411,103891-5,2023-07-04 07:32:00+00:00,53.14835,-8.9402,4.6,2.0,2023
411,103891-6,2022-07-20 15:11:00+00:00,53.148346,-8.940202,2.3,2.25,2022
411,103891-6,2023-07-04 10:38:00+00:00,53.14835,-8.9402,2.3,2.0,2023
411,103891-7,2022-08-16 09:33:00+00:00,53.148346,-8.940202,4.2,2.25,2022
411,103891-8,2022-08-16 12:51:00+00:00,53.148346,-8.940202,2.5,2.0,2022
411,103918-3,2022-06-21 07:57:00+00:00,53.166363,-8.944563,3.4,2.75,2022
411,103918-3,2023-05-23 10:09:00+00:00,53.16636,-8.94456,4.0,4.0,2023
411,103918-4,2022-06-21 10:50:00+00:00,53.166363,-8.944563,5.4,3.25,2022
411,103918-5,2022-07-20 12:40:00+00:00,53.166363,-8.944563,4.3,3.75,2022
411,103918-5,2023-07-04 08:43:00+00:00,53.16636,-8.94456,4.6,2.25,2023
411,103918-6,2022-07-20 15:57:00+00:00,53.166363,-8.944563,3.3,2.5,2022
411,103918-6,2023-07-04 11:27:00+00:00,53.16636,-8.94456,2.5,2.0,2023
411,103918-7,2022-08-16 10:35:00+00:00,53.166363,-8.944563,3.8,3.0,2022
411,103918-8,2023-09-14 16:40:00+00:00,53.16636,-8.94456,5.2,4.75,2023
411,103929-1,2022-01-24 12:16:00+00:00,53.239277,-9.214949,15.0,5.0,2022
411,103929-1,2023-02-27 13:04:00+00:00,53.23928,-9.21495,13.5,5.0,2023
411,103929-2,2022-06-20 08:40:00+00:00,53.239277,-9.214949,18.5,6.0,2022
411,103929-2,2023-05-22 11:35:00+00:00,53.23928,-9.21495,16.4,4.75,2023
411,103929-3,2022-07-19 13:20:00+00:00,53.239277,-9.214949,14.5,5.5,2022
411,103929-4,2022-08-15 11:51:00+00:00,53.239277,-9.214949,10.2,3.75,2022
411,1040-1,2022-01-10 14:20:00+00:00,55.0405,-7.5446,13.2,1.5,2022
411,1040-1,2023-03-02 12:24:00+00:00,55.0405,-7.5446,8.3,2.0,2023
411,1040-2,2022-05-30 13:05:00+00:00,55.0405,-7.5446,6.8,1.0,2022
411,1040-2,2023-06-01 12:12:00+00:00,55.0405,-7.5446,7.3,3.0,2023
411,1040-3,2022-06-29 09:54:00+00:00,55.0405,-7.5446,10.1,1.25,2022
411,1040-3,2023-06-27 11:56:00+00:00,55.0405,-7.5446,8.8,3.0,2023
411,1040-4,2022-09-14 11:57:00+00:00,55.0405,-7.5446,8.5,1.25,2022
411,1040-4,2023-09-06 11:37:00+00:00,55.0405,-7.5446,8.6,2.25,2023
411,104014-3,2022-07-20 11:58:00+00:00,53.16132,-8.964665,3.6,4.75,2022
411,104014-3,2023-05-23 09:31:00+00:00,53.16132,-8.96467,3.6,3.0,2023
411,104014-5,2022-08-16 09:56:00+00:00,53.16132,-8.964665,4.5,2.75,2022
411,104014-5,2023-07-04 08:04:00+00:00,53.16132,-8.96467,3.8,2.25,2023
411,104014-6,2023-07-04 10:59:00+00:00,53.16132,-8.96467,1.7,1.5,2023
411,104023-1,2022-05-25 09:59:00+00:00,53.600365,-9.753917,8.0,3.25,2022
411,104023-3,2022-07-04 10:36:00+00:00,53.600365,-9.753917,8.5,2.0,2022
411,104023-4,2022-09-07 09:35:00+00:00,53.600365,-9.753917,9.0,2.0,2022
411,104023-5,2022-09-07 13:51:00+00:00,53.600365,-9.753917,9.0,2.0,2022
411,104023-6,2022-12-05 10:03:00+00:00,53.600365,-9.753917,6.2,3.25,2022
411,104023-7,2022-12-05 13:25:00+00:00,53.600365,-9.753917,8.9,4.0,2022
411,104038-2,2022-07-04 09:58:00+00:00,53.607754,-9.684769,2.5,1.5,2022
411,104038-4,2022-12-05 14:09:00+00:00,53.607754,-9.684769,3.0,1.5,2022
411,104040-1,2022-07-19 14:03:00+00:00,53.20203,-9.122644,16.8,4.0,2022
411,104040-1,2023-05-22 10:50:00+00:00,53.20203,-9.12264,15.3,4.75,2023
411,104040-2,2022-08-15 12:40:00+00:00,53.20203,-9.122644,13.3,4.0,2022
411,104066-1,2022-05-25 09:44:00+00:00,53.600574,-9.719923,6.0,2.5,2022
411,104066-4,2022-09-07 09:19:00+00:00,53.600574,-9.719923,5.5,5.0,2022
411,104066-5,2022-09-07 13:40:00+00:00,53.600574,-9.719923,5.5,5.0,2022
411,104066-6,2022-12-05 09:49:00+00:00,53.600574,-9.719923,4.4,3.25,2022
411,104066-7,2022-12-05 13:46:00+00:00,53.600574,-9.719923,6.4,3.0,2022
411,104086-1,2022-05-25 10:19:00+00:00,53.599953,-9.781957,11.0,3.75,2022
411,104086-3,2022-07-04 11:02:00+00:00,53.599953,-9.781957,9.8,3.5,2022
411,104086-4,2022-07-04 13:34:00+00:00,53.599953,-9.781957,10.5,2.0,2022
411,104086-5,2022-09-07 09:48:00+00:00,53.599953,-9.781957,12.5,7.5,2022
411,104086-6,2022-09-07 14:03:00+00:00,53.599953,-9.781957,12.5,7.5,2022
411,104086-7,2022-12-05 00:00:00+00:00,53.599953,-9.781957,12.2,4.0,2022
411,104086-8,2022-12-05 10:18:00+00:00,53.599953,-9.781957,12.2,4.0,2022
411,104086-9,2022-12-05 13:24:00+00:00,53.599953,-9.781957,13.2,3.75,2022
411,1041-1,2022-07-28 11:11:00+00:00,53.972,-6.2556,8.6,7.0,2022
411,1041-1,2023-02-28 11:09:00+00:00,53.972,-6.2556,6.5,3.5,2023
411,1041-2,2022-08-24 10:14:00+00:00,53.972,-6.2556,8.7,1.75,2022
411,1041-2,2023-06-15 08:43:00+00:00,53.972,-6.2556,9.0,3.0,2023
411,104121-2,2022-07-04 11:19:00+00:00,53.616001,-9.824261,20.0,3.0,2022
411,104121-3,2022-07-04 13:50:00+00:00,53.616001,-9.824261,17.8,2.5,2022
411,104121-4,2022-09-07 10:05:00+00:00,53.616001,-9.824261,19.0,7.0,2022
411,104121-5,2022-12-05 10:35:00+00:00,53.616001,-9.824261,20.0,5.0,2022
411,104139-1,2022-06-20 08:02:00+00:00,53.187256,-9.18172,22.1,4.5,2022
411,104139-2,2022-07-19 13:45:00+00:00,53.187256,-9.18172,26.0,5.0,2022
411,104139-3,2022-08-15 12:20:00+00:00,53.187256,-9.18172,22.5,3.75,2022
411,104139-3,2023-05-22 11:07:00+00:00,53.18726,-9.18172,20.0,5.5,2023
411,104145-1,2022-05-25 09:31:00+00:00,53.597679,-9.704826,1.6,1.5,2022
411,104145-7,2022-12-05 13:55:00+00:00,53.597679,-9.704826,3.8,2.75,2022
411,1042-1,2022-01-10 13:56:00+00:00,55.0117,-7.5783,5.1,1.5,2022
411,1042-1,2023-03-02 13:32:00+00:00,55.0117,-7.5783,11.6,1.75,2023
411,1042-2,2022-05-30 13:31:00+00:00,55.0117,-7.5783,11.0,0.3,2022
411,1042-2,2023-06-01 13:14:00+00:00,55.0117,-7.5783,8.7,2.75,2023
411,1042-3,2022-06-29 09:30:00+00:00,55.0117,-7.5783,12.3,1.25,2022
411,1042-3,2023-06-27 13:12:00+00:00,55.0117,-7.5783,11.9,3.0,2023
411,1042-4,2022-09-14 11:31:00+00:00,55.0117,-7.5783,12.0,1.25,2022
411,1042-4,2023-09-06 09:26:00+00:00,55.0117,-7.5783,10.8,2.25,2023
411,1043-1,2022-01-10 11:00:00+00:00,55.0591,-7.5579,11.0,1.5,2022
411,1043-1,2023-03-02 12:17:00+00:00,55.0591,-7.5579,16.5,2.0,2023
411,1043-2,2022-05-30 12:50:00+00:00,55.0591,-7.5579,9.6,1.6,2022
411,1043-2,2023-06-01 11:56:00+00:00,55.0591,-7.5579,8.0,4.0,2023
411,1043-3,2022-06-29 11:08:00+00:00,55.0591,-7.5579,17.4,1.25,2022
411,1043-3,2023-06-27 11:41:00+00:00,55.0591,-7.5579,18.2,3.5,2023
411,1043-4,2022-09-14 12:09:00+00:00,55.0591,-7.5579,15.8,1.25,2022
411,1043-4,2023-09-06 08:36:00+00:00,55.0591,-7.5579,18.4,2.25,2023
411,104360-2,2022-07-04 11:49:00+00:00,53.63,-9.87,28.0,5.0,2022
411,104360-3,2022-09-07 10:32:00+00:00,53.63,-9.87,23.0,6.5,2022
411,104360-4,2022-12-05 11:03:00+00:00,53.63,-9.87,21.0,4.25,2022
411,1046-1,2022-01-11 10:01:00+00:00,55.128,-7.4919,15.5,1.75,2022
411,1046-2,2022-05-30 09:32:00+00:00,55.128,-7.4919,15.9,4.0,2022
411,1046-3,2022-06-29 12:56:00+00:00,55.128,-7.4919,12.5,2.25,2022
411,1046-4,2022-09-13 13:18:00+00:00,55.128,-7.4919,10.6,1.5,2022
411,1047-1,2022-01-10 10:27:00+00:00,55.0938,-7.5245,18.4,1.5,2022
411,1047-1,2023-03-02 11:47:00+00:00,55.0938,-7.5245,17.4,2.0,2023
411,1047-2,2022-01-11 09:33:00+00:00,55.0938,-7.5245,18.2,1.75,2022
411,1047-2,2023-06-01 11:22:00+00:00,55.0938,-7.5245,16.5,3.5,2023
411,1047-3,2022-05-30 08:50:00+00:00,55.0938,-7.5245,21.2,3.8,2022
411,1047-3,2023-06-27 11:12:00+00:00,55.0938,-7.5245,17.8,4.0,2023
411,1047-4,2022-06-29 12:31:00+00:00,55.0938,-7.5245,16.8,2.0,2022
411,1047-4,2023-09-06 08:05:00+00:00,55.0938,-7.5245,18.3,2.0,2023
411,1047-5,2022-09-13 09:04:00+00:00,55.0938,-7.5245,19.5,1.0,2022
411,1048-1,2022-01-10 14:08:00+00:00,55.0254,-7.5443,16.5,1.5,2022
411,1048-1,2023-03-02 13:02:00+00:00,55.0254,-7.5443,16.6,2.0,2023
411,1048-2,2022-05-30 13:17:00+00:00,55.0254,-7.5443,14.0,0.3,2022
411,1048-2,2023-06-01 13:00:00+00:00,55.0254,-7.5443,11.3,3.0,2023
411,1048-3,2022-06-29 09:43:00+00:00,55.0254,-7.5443,18.2,1.75,2022
411,1048-3,2023-06-27 12:48:00+00:00,55.0254,-7.5443,16.9,3.0,2023
411,1048-4,2022-09-14 11:42:00+00:00,55.0254,-7.5443,16.4,1.25,2022
411,1048-4,2023-09-06 09:16:00+00:00,55.0254,-7.5443,17.7,2.5,2023
411,1049-1,2022-01-10 10:45:00+00:00,55.0767,-7.5521,20.5,1.5,2022
411,1049-1,2023-03-02 12:00:00+00:00,55.0767,-7.5521,19.5,2.0,2023
411,1049-2,2022-05-30 12:33:00+00:00,55.0767,-7.5521,19.1,2.1,2022
411,1049-2,2023-06-01 11:43:00+00:00,55.0767,-7.5521,18.7,3.5,2023
411,1049-3,2022-06-29 11:24:00+00:00,55.0767,-7.5521,17.7,1.75,2022
411,1049-3,2023-06-27 11:28:00+00:00,55.0767,-7.5521,20.3,4.0,2023
411,1049-4,2022-09-14 13:49:00+00:00,55.0767,-7.5521,19.0,1.5,2022
411,1049-4,2023-09-06 08:22:00+00:00,55.0767,-7.5521,20.2,2.5,2023
411,1050-1,2023-01-30 11:58:00+00:00,54.6218,-8.4398,19.3,3.5,2023
411,1050-2,2023-05-31 10:57:00+00:00,54.6218,-8.4398,13.4,7.5,2023
411,1050-3,2023-05-31 14:29:00+00:00,54.6218,-8.4398,14.6,7.0,2023
411,1050-4,2022-07-05 11:36:00+00:00,54.6218,-8.4398,12.7,3.0,2022
411,1050-4,2023-06-28 09:53:00+00:00,54.6218,-8.4398,17.9,4.0,2023
411,1050-5,2022-09-08 12:19:00+00:00,54.6218,-8.4398,16.1,8.0,2022
411,1050-5,2023-09-05 11:51:00+00:00,54.6218,-8.4398,21.0,3.0,2023
411,1051-1,2022-01-11 09:50:00+00:00,55.1145,-7.5019,18.0,1.75,2022
411,1051-2,2022-05-30 09:14:00+00:00,55.1145,-7.5019,20.5,3.5,2022
411,1051-3,2022-06-29 12:45:00+00:00,55.1145,-7.5019,16.4,2.0,2022
411,1051-4,2022-09-13 13:30:00+00:00,55.1145,-7.5019,16.6,1.25,2022
411,1052-1,2022-05-26 11:28:00+00:00,54.6051,-8.4444,35.0,9.0,2022
411,1052-1,2023-01-30 12:46:00+00:00,54.6051,-8.4444,32.0,4.5,2023
411,1052-2,2022-07-05 12:21:00+00:00,54.6051,-8.4444,29.0,3.5,2022
411,1052-2,2023-05-31 11:39:00+00:00,54.6051,-8.4444,30.0,8.25,2023
411,1052-3,2022-09-08 13:01:00+00:00,54.6051,-8.4444,30.0,7.0,2022
411,1052-3,2023-06-28 10:43:00+00:00,54.6051,-8.4444,30.7,5.0,2023
411,1052-4,2023-09-05 12:45:00+00:00,54.6051,-8.4444,31.3,4.5,2023
411,1054-1,2022-05-26 11:06:00+00:00,54.5959,-8.4633,35.0,10.0,2022
411,1054-1,2023-01-30 12:30:00+00:00,54.5959,-8.4633,31.0,5.0,2023
411,1054-2,2022-07-05 12:05:00+00:00,54.5959,-8.4633,29.0,3.5,2022
411,1054-2,2023-05-31 11:25:00+00:00,54.5959,-8.4633,30.2,10.0,2023
411,1054-3,2022-09-08 12:44:00+00:00,54.5959,-8.4633,23.4,9.0,2022
411,1054-3,2023-06-28 10:25:00+00:00,54.5959,-8.4633,30.6,5.25,2023
